categoria;total;transacciones;promedio;porcentaje_%
Credit Card Payment;33041,36;71;465,3712676056338;34,39
Mortgage & Rent;24754,5;21;1178,7857142857142;25,76
Home Improvement;19092,87;36;530,3575;19,87
Groceries;2795,21;105;26,62104761904762;2,91
Utilities;2776,0;63;44,06349206349206;2,89
Restaurants;2613,02;81;32,25950617283951;2,72
Shopping;1973,24;60;32,88733333333333;2,05
Gas & Fuel;1715,17;52;32,98403846153846;1,79
Mobile Phone;1680,4;21;80,01904761904763;1,75
Internet;1570,8799999999999;21;74,80380952380952;1,63
Auto Insurance;1350,0;18;75,0;1,41
Electronics & Software;719,0;4;179,75;0,75
Alcohol & Bars;539,13;25;21,5652;0,56
Haircut;378,0;13;29,076923076923077;0,39
Fast Food;330,63;16;20,664375;0,34
Music;224,48999999999998;21;10,69;0,23
Movies & DVDs;222,19;18;12,34388888888889;0,23
Coffee Shops;115,53999999999999;31;3,7270967741935483;0,12
Television;104,78;8;13,0975;0,11
Food & Dining;77,75;2;38,875;0,08
Entertainment;9,62;1;9,62;0,01
