anio;mes;gasto;ingreso;ahorro;tasa_ahorro_%
2018;1;2931,45;7162,89;4231,4400000000005;59,1
2018;2;3165,05;5220,75;2055,7;39,4
2018;3;3500,16;7321,5;3821,34;52,2
2018;4;6029,54;7166,88;1137,3400000000001;15,9
2018;5;11392,03;5091,55;-6300,4800000000005;-123,7
2018;6;3665,88;6017,1900000000005;2351,3100000000004;39,1
2018;7;2968,98;4666,34;1697,3600000000001;36,4
2018;8;2396,1800000000003;7379,15;4982,969999999999;67,5
2018;9;3286,9900000000002;5234,71;1947,7199999999998;37,2
2018;10;2848,35;5022,23;2173,8799999999997;43,3
2018;11;2963,65;6018,96;3055,31;50,8
2018;12;3427,9900000000002;5635,1;2207,11;39,2
2019;1;5187,31;4769,4400000000005;-417,8699999999999;-8,8
2019;2;3163,4;4500,01;1336,6100000000001;29,7
2019;3;3241,51;7792,25;4550,74;58,4
2019;4;4829,55;5931,89;1102,3400000000001;18,6
2019;5;4673,51;5341,01;667,5;12,5
2019;6;11999,599999999999;4514,35;-7485,249999999998;-165,8
2019;7;4148,06;5642,400000000001;1494,3400000000001;26,5
2019;8;4266,17;7304,1;3037,9300000000003;41,6
2019;9;5998,42;6537,0599999999995;538,6399999999994;8,2
