fecha;descripcion;monto;tipo;categoria;cuenta;anio;mes;mes_nombre
2018-01-01;Amazon;11,11;gasto;Shopping;Platinum Card;2018;1;January
2018-01-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;1;January
2018-01-02;Thai Restaurant;24,22;gasto;Restaurants;Silver Card;2018;1;January
2018-01-03;Credit Card Payment;2298,09;ingreso;Credit Card Payment;Platinum Card;2018;1;January
2018-01-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;1;January
2018-01-05;American Tavern;25,85;gasto;Restaurants;Silver Card;2018;1;January
2018-01-06;Hardware Store;18,45;gasto;Home Improvement;Silver Card;2018;1;January
2018-01-08;Gas Company;45,0;gasto;Utilities;Checking;2018;1;January
2018-01-08;Hardware Store;15,38;gasto;Home Improvement;Silver Card;2018;1;January
2018-01-09;Spotify;10,69;gasto;Music;Platinum Card;2018;1;January
2018-01-10;Phone Company;89,46;gasto;Mobile Phone;Checking;2018;1;January
2018-01-11;Shell;34,87;gasto;Gas & Fuel;Platinum Card;2018;1;January
2018-01-11;Grocery Store;43,54;gasto;Groceries;Platinum Card;2018;1;January
2018-01-12;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;1;January
2018-01-13;Pizza Place;32,91;gasto;Fast Food;Platinum Card;2018;1;January
2018-01-13;Amazon;39,05;gasto;Shopping;Platinum Card;2018;1;January
2018-01-15;Grocery Store;44,19;gasto;Groceries;Silver Card;2018;1;January
2018-01-15;American Tavern;64,11;gasto;Restaurants;Silver Card;2018;1;January
2018-01-16;City Water Charges;35,0;gasto;Utilities;Checking;2018;1;January
2018-01-16;Power Company;60,0;gasto;Utilities;Checking;2018;1;January
2018-01-19;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;1;January
2018-01-20;Amazon;50,21;gasto;Shopping;Platinum Card;2018;1;January
2018-01-22;Credit Card Payment;554,99;ingreso;Credit Card Payment;Platinum Card;2018;1;January
2018-01-22;Credit Card Payment;309,81;ingreso;Credit Card Payment;Silver Card;2018;1;January
2018-01-22;Credit Card Payment;554,99;gasto;Credit Card Payment;Checking;2018;1;January
2018-01-22;Hardware Store;17,38;gasto;Home Improvement;Silver Card;2018;1;January
2018-01-23;Credit Card Payment;309,81;gasto;Credit Card Payment;Checking;2018;1;January
2018-01-24;Starbucks;3,0;gasto;Coffee Shops;Platinum Card;2018;1;January
